LoopId,LoopStartTime,BackgroundThreads,LogCleanerThreads,NumIoThreads,NumNetworkThreads,NumPartitions,NumNodes,NumReplicaFetchers,ThreadsClient,MessageSize,TotalMessages
1,2019-07-06_03-02-41,10,1,4,3,1,1,1,10,10240,333614
2,2019-07-06_03-37-18,10,1,4,3,1,1,1,10,102400,74311
3,2019-07-06_04-11-56,10,1,4,3,1,1,1,15,10240,485829
4,2019-07-06_04-46-36,10,1,4,3,1,1,1,15,102400,75750
5,2019-07-06_05-20-39,10,1,4,3,1,1,1,20,10240,613018
6,2019-07-06_05-55-22,10,1,4,3,1,1,1,20,102400,76619
7,2019-07-06_06-30-01,10,1,4,3,1,1,1,25,10240,682651
8,2019-07-06_07-04-46,10,1,4,3,1,1,1,25,102400,76257
9,2019-07-06_07-39-25,10,1,4,3,1,1,1,50,10240,726962
10,2019-07-06_08-14-07,10,1,4,3,1,1,1,50,102400,76106
11,2019-07-06_08-48-48,10,1,4,3,1,1,2,10,10240,333584
12,2019-07-06_09-23-24,10,1,4,3,1,1,2,10,102400,75049
13,2019-07-06_09-58-01,10,1,4,3,1,1,2,15,10240,485109
14,2019-07-06_10-32-46,10,1,4,3,1,1,2,15,102400,75727
15,2019-07-06_11-06-59,10,1,4,3,1,1,2,20,10240,610187
16,2019-07-06_11-41-43,10,1,4,3,1,1,2,20,102400,74978
17,2019-07-06_12-16-49,10,1,4,3,1,1,2,25,10240,694923
18,2019-07-06_12-51-05,10,1,4,3,1,1,2,25,102400,74839
19,2019-07-06_13-25-19,10,1,4,3,1,1,2,50,10240,697763
20,2019-07-06_13-59-33,10,1,4,3,1,1,2,50,102400,76164
21,2019-07-06_14-34-20,10,1,8,3,1,1,1,10,10240,333489
22,2019-07-06_15-08-45,10,1,8,3,1,1,1,10,102400,75860
23,2019-07-06_15-43-49,10,1,8,3,1,1,1,15,10240,484115
24,2019-07-06_16-18-23,10,1,8,3,1,1,1,15,102400,75010
25,2019-07-06_16-53-17,10,1,8,3,1,1,1,20,10240,609898
26,2019-07-06_17-27-54,10,1,8,3,1,1,1,20,102400,75181
27,2019-07-06_18-02-38,10,1,8,3,1,1,1,25,10240,685968
28,2019-07-06_18-37-25,10,1,8,3,1,1,1,25,102400,75161
29,2019-07-06_19-12-03,10,1,8,3,1,1,1,50,10240,697837
30,2019-07-06_19-46-54,10,1,8,3,1,1,1,50,102400,76689
31,2019-07-06_20-21-40,10,1,8,3,1,1,2,10,10240,333872
32,2019-07-06_20-56-18,10,1,8,3,1,1,2,10,102400,75913
33,2019-07-06_21-30-59,10,1,8,3,1,1,2,15,10240,485289
34,2019-07-06_22-05-40,10,1,8,3,1,1,2,15,102400,74890
35,2019-07-06_22-40-22,10,1,8,3,1,1,2,20,10240,611797
36,2019-07-06_23-15-03,10,1,8,3,1,1,2,20,102400,75311
37,2019-07-06_23-49-48,10,1,8,3,1,1,2,25,10240,690525
38,2019-07-07_00-24-35,10,1,8,3,1,1,2,25,102400,75572
39,2019-07-07_00-59-15,10,1,8,3,1,1,2,50,10240,698330
40,2019-07-07_01-34-00,10,1,8,3,1,1,2,50,102400,75344
41,2019-07-07_02-08-39,10,1,16,3,1,1,1,10,10240,333286
42,2019-07-07_02-43-14,10,1,16,3,1,1,1,10,102400,74525
43,2019-07-07_03-17-59,10,1,16,3,1,1,1,15,10240,484109
44,2019-07-07_03-52-45,10,1,16,3,1,1,1,15,102400,73271
45,2019-07-07_04-27-28,10,1,16,3,1,1,1,20,10240,612104
46,2019-07-07_05-02-18,10,1,16,3,1,1,1,20,102400,74987
47,2019-07-07_05-37-04,10,1,16,3,1,1,1,25,10240,695395
48,2019-07-07_06-11-53,10,1,16,3,1,1,1,25,102400,73605
49,2019-07-07_06-46-39,10,1,16,3,1,1,1,50,10240,702683
50,2019-07-07_07-21-32,10,1,16,3,1,1,1,50,102400,76061
51,2019-07-07_07-56-15,10,1,16,3,1,1,2,10,10240,333053
52,2019-07-07_08-30-53,10,1,16,3,1,1,2,10,102400,75934
53,2019-07-07_09-05-40,10,1,16,3,1,1,2,15,10240,483850
54,2019-07-07_09-40-33,10,1,16,3,1,1,2,15,102400,73958
55,2019-07-07_10-15-22,10,1,16,3,1,1,2,20,10240,610135
56,2019-07-07_10-50-17,10,1,16,3,1,1,2,20,102400,75515
57,2019-07-07_11-25-02,10,1,16,3,1,1,2,25,10240,697378
58,2019-07-07_11-59-57,10,1,16,3,1,1,2,25,102400,75303
59,2019-07-07_12-34-43,10,1,16,3,1,1,2,50,10240,701355
60,2019-07-07_13-09-35,10,1,16,3,1,1,2,50,102400,76047
61,2019-07-08_19-54-53,5,1,4,3,1,1,1,10,10240,330976
62,2019-07-08_20-29-35,5,1,4,3,1,1,1,10,102400,74821
63,2019-07-08_21-04-18,5,1,4,3,1,1,1,15,10240,484513
64,2019-07-08_21-39-01,5,1,4,3,1,1,1,15,102400,73537
65,2019-07-08_22-13-43,5,1,4,3,1,1,1,20,10240,608544
66,2019-07-08_22-48-26,5,1,4,3,1,1,1,20,102400,74840
67,2019-07-08_23-23-08,5,1,4,3,1,1,1,25,10240,690736
68,2019-07-08_23-57-53,5,1,4,3,1,1,1,25,102400,74649
69,2019-07-09_00-32-34,5,1,4,3,1,1,1,50,10240,696021
70,2019-07-09_01-07-20,5,1,4,3,1,1,1,50,102400,74881
71,2019-07-09_01-42-04,5,1,4,3,1,1,2,10,10240,332006
72,2019-07-09_02-16-43,5,1,4,3,1,1,2,10,102400,75332
73,2019-07-09_02-51-24,5,1,4,3,1,1,2,15,10240,484153
74,2019-07-09_03-26-07,5,1,4,3,1,1,2,15,102400,73962
75,2019-07-09_04-00-49,5,1,4,3,1,1,2,20,10240,610784
76,2019-07-09_04-35-34,5,1,4,3,1,1,2,20,102400,73745
77,2019-07-09_05-10-16,5,1,4,3,1,1,2,25,10240,692088
78,2019-07-09_05-45-01,5,1,4,3,1,1,2,25,102400,75130
79,2019-07-09_06-19-42,5,1,4,3,1,1,2,50,10240,696617
80,2019-07-09_06-54-29,5,1,4,3,1,1,2,50,102400,76646
81,2019-07-09_07-29-12,5,1,8,3,1,1,1,10,10240,333289
82,2019-07-09_08-03-52,5,1,8,3,1,1,1,10,102400,74614
83,2019-07-09_08-38-32,5,1,8,3,1,1,1,15,10240,483931
84,2019-07-09_09-13-13,5,1,8,3,1,1,1,15,102400,74804
85,2019-07-09_09-47-55,5,1,8,3,1,1,1,20,10240,610319
86,2019-07-09_10-22-38,5,1,8,3,1,1,1,20,102400,76282
87,2019-07-09_10-57-21,5,1,8,3,1,1,1,25,10240,694833
88,2019-07-09_11-32-06,5,1,8,3,1,1,1,25,102400,75583
89,2019-07-09_12-06-47,5,1,8,3,1,1,1,50,10240,721986
90,2019-07-09_12-41-33,5,1,8,3,1,1,1,50,102400,75897
91,2019-07-09_13-16-16,5,1,8,3,1,1,2,10,10240,333100
92,2019-07-09_13-50-57,5,1,8,3,1,1,2,10,102400,74520
93,2019-07-09_14-25-38,5,1,8,3,1,1,2,15,10240,483975
94,2019-07-09_15-00-21,5,1,8,3,1,1,2,15,102400,74751
95,2019-07-09_15-35-02,5,1,8,3,1,1,2,20,10240,606448
96,2019-07-09_16-09-47,5,1,8,3,1,1,2,20,102400,74386
97,2019-07-09_16-44-28,5,1,8,3,1,1,2,25,10240,693164
98,2019-07-09_17-19-14,5,1,8,3,1,1,2,25,102400,75671
99,2019-07-09_17-53-56,5,1,8,3,1,1,2,50,10240,696169
100,2019-07-09_18-28-43,5,1,8,3,1,1,2,50,102400,76516
101,2019-07-09_19-03-28,5,1,16,3,1,1,1,10,10240,332943
102,2019-07-09_19-38-08,5,1,16,3,1,1,1,10,102400,74101
103,2019-07-09_20-12-50,5,1,16,3,1,1,1,15,10240,480151
104,2019-07-09_20-47-33,5,1,16,3,1,1,1,15,102400,74884
105,2019-07-09_21-22-16,5,1,16,3,1,1,1,20,10240,609809
106,2019-07-09_21-57-00,5,1,16,3,1,1,1,20,102400,75181
107,2019-07-09_22-31-43,5,1,16,3,1,1,1,25,10240,699421
108,2019-07-09_23-06-29,5,1,16,3,1,1,1,25,102400,73433
109,2019-07-09_23-41-10,5,1,16,3,1,1,1,50,10240,715110
110,2019-07-10_00-15-56,5,1,16,3,1,1,1,50,102400,76402
111,2019-07-10_00-50-39,5,1,16,3,1,1,2,10,10240,332972
112,2019-07-10_01-25-18,5,1,16,3,1,1,2,10,102400,74463
113,2019-07-10_01-59-59,5,1,16,3,1,1,2,15,10240,484363
114,2019-07-10_02-34-40,5,1,16,3,1,1,2,15,102400,75103
115,2019-07-10_03-09-21,5,1,16,3,1,1,2,20,10240,610098
116,2019-07-10_03-44-05,5,1,16,3,1,1,2,20,102400,76119
117,2019-07-10_04-18-45,5,1,16,3,1,1,2,25,10240,690491
118,2019-07-10_04-53-32,5,1,16,3,1,1,2,25,102400,74551
119,2019-07-10_05-28-13,5,1,16,3,1,1,2,50,10240,711012
120,2019-07-10_06-02-59,5,1,16,3,1,1,2,50,102400,75516
